şikayet_metni,kategori
"Üç gündür mahallemizde sular tamamen kesik, hiçbir bilgilendirme yapılmadı.","altyapı,su sorunu"
"Evde su kesintisi yaşıyoruz, bulaşık ve çamaşır makinelerini kullanamıyoruz.","altyapı,su sorunu"
"Musluktan akan su aşırı bulanık ve çamurlu, içmeye korkuyoruz.","altyapı,su sorunu"
"Bina su basıncı çok düşük, üst katlara su hiç çıkmıyor.","altyapı,su sorunu"
"Dünden beri musluklardan tek damla su akmıyor, yetkililere ulaşamıyoruz.","altyapı,su sorunu"
"Su kesintisinin ne kadar süreceği hakkında bilgi verilmedi.","altyapı,su sorunu"
"Planlı kesinti denilen su kesintisi, 3 günü geçti hala su yok.","altyapı,su sorunu"
"Belediye tarafından herhangi bir su kesintisi bildirimi yapılmadı.","altyapı,su sorunu"
"Evde yaşlı ve çocuklar var, susuzluk büyük sıkıntı yaratıyor.","altyapı,su sorunu"
"Su saatimiz bozuldu, tamirat için kaç gündür başvuru yaptık, hâlâ gelen yok.","altyapı,su sorunu"
"İki haftadır su faturası anormal şekilde yüksek geliyor.","altyapı,su sorunu"
"Mahallemizde kombi suyu gelmiyor, kış ayında mağdur durumdayız.","altyapı,su sorunu"
"Musluktan gelen su kötü kokuyor, kullanamıyoruz.","altyapı,su sorunu"
"Su kesintisi nedeniyle hijyen sağlayamıyoruz, sağlık riski oluşuyor.","altyapı,su sorunu"
"Binamızın hidrofor sistemi çalışıyor ancak belediye su vermediği için depolar boş.","altyapı,su sorunu"
"Su deposu arızalı olduğu için dairelere su ulaşmıyor.","altyapı,su sorunu"
"Çocukların okulunda çeşmelerden su akmıyor, kantin bile su satamıyor.","altyapı,su sorunu"
"Mahalledeki camide abdest alınacak su yok, bu durum haftalardır devam ediyor.","altyapı,su sorunu"
"Akıllı sayaçtan su akışı gözükmüyor, sistemsel arıza olabilir.","altyapı,su sorunu"
"Evdeki musluklardan su çok ince akıyor, neredeyse damlıyor.","altyapı,su sorunu"
"Banyoda sıcak su sürekli kesiliyor, kombi sağlam ama su yok.","altyapı,su sorunu"
"Site yönetimi su kesintisinin belediye kaynaklı olduğunu söylüyor, lütfen müdahale edin.","altyapı,su sorunu"
"Bahçe sulama hattına su verilmiyor, çiçekler kurudu.","altyapı,su sorunu"
"Haftalardır suyun bir gelip bir gitmesi yüzünden çamaşır makinem bozuldu.","altyapı,su sorunu"
"Mahallemizde su arızası var ama hiçbir belediye görevlisi ilgilenmedi.","altyapı,su sorunu"
"Sitelerde haftalık rutin su kesintileri oluyor ama nedenini kimse açıklamıyor.","altyapı,su sorunu"
"Gece boyunca su kesiliyor, sabahları ancak kısa süre akıyor.","altyapı,su sorunu"
"Yağmur suyu drenaj sistemi bile su vermiyor, alt yapı tamamen çökmüş olabilir.","altyapı,su sorunu"
"Su boruları patladı ama onarım için gelen olmadı, tüm sokak susuz kaldı.","altyapı,su sorunu"
"Hafta sonu boyunca sular kesik olacak denildi ama hafta içi de gelmedi.","altyapı,su sorunu"
"Belediye su kesintisiyle ilgili bilgi vermediği için mağdur durumdayız.","altyapı,su sorunu"
"Su kesintisi çocukların sağlığı için risk oluşturuyor, hızlı çözüm istiyoruz.","altyapı,su sorunu"
"Kış günü susuz bırakıldık.","altyapı,su sorunu"
"Her yağmurdan sonra içme suyu şebekesi etkileniyor ve bölgede uzun süreli su kesintileri yaşanıyor.","altyapı,su sorunu"
"İnşaat çalışmaları nedeniyle sürekli su kesiliyor, ne zaman bitecek belli değil.","altyapı,su sorunu"
"Su kesintisi gün içinde habersiz yapılıyor, hazırlıksız yakalanıyoruz.","altyapı,su sorunu"
"Evde hasta var ve susuzluk nedeniyle bakımı çok zorlaşıyor.","altyapı,su sorunu"
"Musluktan gelen su paslı ve rengi koyu kahverengi.","altyapı,su sorunu"
"Sular kesik olduğu için yemek yapamıyoruz, mağduruz.","altyapı,su sorunu"
"İçme suyu olarak musluk suyu kullanamıyoruz, market suyu almak zorundayız.","altyapı,su sorunu"
"Çamaşır yıkayamıyoruz, birikmiş durumda.","altyapı,su sorunu"
"Sular gün içinde birkaç kez gidip geliyor, cihazlarımız zarar görüyor.","altyapı,su sorunu"
"Bazı binalarda su var, bazılarında yok. Sebebi nedir?","altyapı,su sorunu"
"Su saatimiz çalışmıyor, faturaya yanlış yansıtılıyor.","altyapı,su sorunu"
"İşyeri olarak su kesintisinden dolayı temizlik yapamıyoruz.","altyapı,su sorunu"
